CalendarDay2,Year,DistrictName,StateName,Country,StateCode,DistrictCode,TotalPopulation,Category of Population,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,Density,Category by Density,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_Percentage_LandArea,WeighingRatio_LandArea
03-05-2026,"Calendar Year (Jan - Dec), 2026",Deogarh,Odisha,India,21,351,311624,Sparsely Populated,22390,289234,157784,11564,146220,153840,10826,143014,75223,5394,69829,2410,191350,193760,1.608298927,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Pali,Rajasthan,India,8,111,1628164,Moderately Populated,460006,1168158,819955,237863,582092,808209,222143,586066,331865,88647,243218,43914,944214,988128,1.647725801,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Kandhamal,Odisha,India,21,359,733110,Moderately Populated,72279,660831,359945,36422,323523,373165,35857,337308,172022,16766,155256,5174,438485,443659,1.652417735,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Sindhudurg,Maharashtra,India,27,495,856075,Moderately Populated,107006,749069,420515,54064,366451,435560,52942,382618,211259,26638,184621,6429,509825,514276,1.664621721,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Dhalai,Tripura,India,16,269,375894,Sparsely Populated,40499,335395,193357,20771,172586,182537,19728,162809,84039,10105,73934,3571,219894,223465,1.682115768,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Bhadradri Kothagudem,Telangana,India,36,690,1069261,Moderately Populated,339083,730178,532390,167583,364807,536871,171500,365371,279190,87785,191405,14991,619079,634070,1.686345356,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Surendranagar,Gujarat,India,24,460,1553936,Moderately Populated,464892,1089044,805590,243803,561787,748346,221089,527257,304725,95909,208816,22052,869700,891752,1.742565197,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Baran,Rajasthan,India,8,89,1222755,Moderately Populated,254214,968541,633945,131717,502228,588810,122497,466313,241428,49902,191526,14829,681934,696763,1.754908053,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Mulugu,Telangana,India,36,720,294671,Sparsely Populated,11493,283178,146205,5776,140429,148466,5717,142749,78239,3018,75221,2061,165096,167157,1.762839726,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Pandhurna,Madhya Pradesh,India,23,785,272918,Sparsely Populated,7497,265421,139947,3943,136004,132971,3554,129417,61899,1872,60027,200,153301,153501,1.777955844,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
